accel_rms_mean,accel_rms_std,accel_delta,accel_roc,velocity_rms_z,peak_to_rms_ratio,motor_temp_delta,humidity_trend,load_pct,load_variance,multivariate_score
33.58,14.42,-1.62,2.48,0.138,1.98,9.4,-0.281,0.399,6.3,0.168
31.84,7.27,-6.7,-0.33,-1.117,2.01,5.5,-0.106,0.502,6.2,0.275
26.41,8.02,-8.99,-1.21,-0.865,1.62,20.2,-0.121,0.652,42.4,0.138
25.87,2.26,0.79,5.0,-0.45,2.05,20.6,0.152,0.653,47.7,0.12
25.26,3.99,-7.48,1.69,0.192,1.48,19.0,0.267,0.184,32.3,0.312
26.2,12.67,9.29,-3.92,-1.423,1.61,18.5,0.458,0.367,37.2,0.077
31.96,10.17,-7.96,2.72,1.051,1.98,7.4,0.484,0.676,20.6,0.2
28.76,8.59,-3.18,3.5,0.967,1.34,24.2,0.136,0.713,36.8,0.202
32.39,14.58,-4.6,3.08,0.115,1.83,13.7,0.231,0.265,43.3,0.341
25.92,13.49,-5.12,-0.35,0.331,1.69,5.6,0.351,0.195,14.5,0.329
28.46,13.47,4.02,-2.24,-1.47,2.43,6.7,0.22,0.441,39.1,0.292
31.52,8.4,5.86,-4.07,-0.835,2.1,11.1,0.082,0.429,28.9,0.199
32.52,6.31,4.06,-2.29,-0.746,1.36,8.9,-0.38,0.479,39.3,0.115
27.23,8.31,4.49,4.77,0.074,1.57,7.0,-0.306,0.232,13.1,0.055
30.4,5.58,9.49,0.53,0.592,1.36,22.4,-0.009,0.748,30.8,0.214
29.47,4.41,-8.97,4.41,-0.067,2.27,13.0,-0.426,0.554,7.4,0.102
30.69,5.96,9.88,-3.82,0.793,1.99,20.8,-0.274,0.468,25.3,0.205
33.67,14.9,-3.89,1.21,0.329,2.16,24.0,-0.292,0.219,34.7,0.105
26.81,2.98,-9.95,-0.49,0.281,1.58,9.6,0.207,0.612,25.4,0.291
34.31,12.27,2.5,1.61,1.301,1.75,15.9,0.148,0.777,42.2,0.075
26.73,6.01,4.98,0.69,-0.634,1.36,18.8,0.2,0.804,27.5,0.223
25.88,2.52,-1.36,-1.78,-0.749,1.32,24.2,0.336,0.51,47.8,0.4
31.79,5.52,-9.2,2.56,-0.088,2.05,23.3,-0.319,0.518,33.6,0.222
25.99,6.54,-3.33,1.7,1.073,1.63,18.9,-0.212,0.806,41.6,0.243
29.62,6.1,-3.53,4.7,-0.287,1.87,24.8,0.158,0.484,23.6,0.116
28.69,11.86,2.51,2.6,-0.889,1.91,23.6,-0.062,0.609,10.5,0.391
31.17,5.12,-6.83,0.51,0.157,1.32,24.8,0.413,0.419,10.3,0.341
30.06,11.35,0.18,-2.27,1.004,2.47,9.9,0.051,0.357,46.5,0.228
33.87,13.27,-4.48,2.9,-0.255,2.41,15.2,0.321,0.276,18.4,0.255
35.07,8.39,-7.03,0.39,-0.465,1.92,15.9,-0.045,0.307,13.5,0.294
30.8,5.05,5.51,-4.56,0.734,2.12,21.2,-0.114,0.581,41.9,0.393
30.04,2.49,0.05,0.9,1.109,2.34,13.8,0.026,0.416,37.5,0.193
31.63,4.02,-0.61,4.69,-0.484,2.1,18.0,0.352,0.732,43.7,0.183
28.25,11.38,5.19,3.72,-1.392,1.29,17.6,0.421,0.848,38.6,0.202
26.07,10.27,7.45,-0.56,0.582,2.37,5.9,0.296,0.285,21.9,0.101
30.4,9.38,5.85,-3.3,-1.263,2.33,17.4,-0.259,0.78,11.4,0.211
27.63,5.33,-9.81,3.05,1.204,2.08,8.2,-0.058,0.326,31.4,0.274
29.33,5.27,6.91,-3.01,-0.346,1.83,9.7,0.072,0.51,49.7,0.153
34.87,10.59,-4.51,0.66,0.557,2.17,6.0,0.106,0.447,45.7,0.15
33.08,9.92,-2.95,1.37,0.363,2.08,19.4,0.159,0.721,33.3,0.366
31.56,6.03,-1.18,0.8,0.697,1.32,10.9,0.247,0.191,10.9,0.239
34.81,8.93,8.27,3.3,-0.729,2.27,14.6,0.306,0.647,20.2,0.09
34.72,3.84,9.33,3.6,0.673,2.47,24.3,0.305,0.343,40.6,0.055
30.46,7.94,3.46,1.72,0.254,2.27,23.8,-0.392,0.237,6.1,0.359
30.71,13.94,-5.57,-4.37,0.972,2.38,11.0,-0.092,0.162,47.6,0.157
30.02,3.27,7.75,-3.64,-0.139,2.07,19.9,0.446,0.385,38.4,0.104
29.25,3.3,-0.21,-0.92,1.355,1.24,12.4,-0.057,0.81,43.5,0.085
31.96,9.11,9.56,-1.41,-0.306,1.45,7.4,0.348,0.414,34.8,0.275
31.07,2.29,5.74,-2.56,-1.122,1.93,6.4,0.265,0.216,14.7,0.354
28.39,3.93,8.01,-4.97,1.075,1.39,7.6,-0.249,0.19,34.7,0.059
25.25,12.31,-5.24,-1.76,-0.977,1.27,19.8,0.026,0.647,26.4,0.322
30.24,3.43,0.08,4.45,-1.37,2.22,22.3,0.021,0.416,48.4,0.071
29.89,7.25,3.72,-0.1,1.229,1.3,6.6,0.108,0.103,17.4,0.272
30.59,6.25,9.89,0.31,-0.139,1.99,7.0,0.202,0.732,34.3,0.319
32.32,4.81,-0.97,-2.72,-0.483,1.79,13.3,-0.405,0.391,34.9,0.181
26.63,14.05,-8.66,3.32,-1.22,1.33,19.8,0.312,0.495,31.4,0.247
28.41,3.6,-2.93,1.65,0.751,2.33,19.4,0.468,0.53,20.8,0.252
27.24,10.58,-5.52,-3.92,1.036,1.68,20.3,0.074,0.696,43.0,0.391
33.3,10.01,2.85,-4.74,1.287,2.28,10.3,-0.32,0.612,18.9,0.169
25.17,13.36,1.33,-0.99,-1.074,2.02,5.6,0.246,0.222,23.9,0.169
28.81,11.42,5.54,0.68,-1.245,1.27,8.1,0.118,0.589,17.2,0.282
29.97,7.78,-4.54,2.55,-1.159,1.76,10.7,0.178,0.439,35.0,0.066
29.07,9.83,-9.85,-1.99,-0.866,1.38,10.1,-0.172,0.056,38.6,0.111
28.92,11.19,0.01,3.33,0.919,1.29,22.2,-0.458,0.065,46.5,0.352
30.88,9.49,4.19,-0.82,-1.154,1.23,11.5,0.301,0.545,42.4,0.372
26.0,13.03,-5.13,0.89,0.072,1.71,11.2,-0.16,0.316,12.6,0.229
26.26,8.66,8.12,-1.51,0.682,2.26,21.3,-0.264,0.167,13.9,0.261
32.72,10.56,-6.46,2.73,-0.018,2.18,20.2,-0.051,0.789,30.4,0.272
31.37,13.29,2.54,-3.49,-1.295,1.77,11.1,-0.225,0.095,27.8,0.159
29.64,2.75,6.63,-4.23,1.093,2.31,17.3,0.007,0.42,29.9,0.327
34.08,7.88,6.2,1.52,-0.535,1.82,8.0,-0.438,0.133,45.5,0.17
32.27,8.59,-6.55,-2.52,-0.187,1.77,15.5,-0.341,0.348,17.7,0.193
28.51,9.81,5.78,1.47,-1.302,1.32,18.6,-0.216,0.629,34.5,0.367
33.86,6.36,1.65,-3.59,-0.451,2.46,19.0,-0.108,0.526,47.2,0.158
28.9,12.34,6.26,1.7,0.987,2.16,18.7,0.026,0.567,24.1,0.177
28.76,4.36,-5.72,4.48,-0.041,1.49,7.8,-0.423,0.726,9.6,0.32
33.48,13.55,-9.25,-1.63,0.799,1.37,12.5,-0.338,0.715,39.7,0.333
26.79,7.72,-1.78,1.76,-0.787,1.78,10.7,0.249,0.409,29.0,0.158
33.22,8.13,6.7,-1.32,1.341,2.48,14.2,-0.218,0.355,28.7,0.388
33.3,12.47,-7.23,-2.5,0.424,2.34,16.1,-0.397,0.727,43.3,0.15
32.77,5.57,8.11,-3.53,-0.188,2.43,9.4,-0.049,0.33,6.2,0.069
30.16,5.09,9.89,-1.25,-1.415,2.41,21.8,0.15,0.683,11.2,0.15
33.44,11.1,-7.22,2.06,-0.154,1.21,6.6,-0.244,0.718,29.7,0.305
30.42,3.46,-4.24,-1.99,-1.357,1.75,20.9,-0.043,0.139,45.7,0.259
25.3,8.74,-5.16,-3.56,-0.212,2.0,9.8,-0.083,0.581,8.9,0.391
25.82,8.88,0.15,4.88,0.162,1.71,14.4,0.136,0.835,16.4,0.056
33.03,6.51,4.66,1.28,0.815,2.16,11.7,-0.456,0.487,41.6,0.111
32.93,8.08,3.91,1.32,0.934,1.28,20.5,-0.042,0.285,7.0,0.12
25.56,14.2,0.31,4.89,0.129,1.53,20.1,-0.309,0.336,40.1,0.353
28.46,3.64,-2.64,3.89,0.73,2.36,12.7,0.474,0.447,27.4,0.374
30.34,12.48,4.54,-4.21,0.307,2.27,15.9,-0.179,0.114,34.7,0.157
31.17,7.58,3.8,-1.48,-1.373,2.33,12.1,0.498,0.27,49.1,0.382
25.9,10.34,-2.73,3.01,0.538,2.44,7.9,0.108,0.675,6.6,0.074
32.93,6.8,-2.34,0.67,0.315,2.08,24.0,-0.128,0.66,30.8,0.235
29.13,10.5,-5.01,-3.87,0.707,1.85,12.7,0.062,0.259,16.7,0.206
35.12,5.74,8.33,-0.09,-1.132,2.31,14.0,0.399,0.406,9.0,0.289
33.61,6.19,-3.05,-4.35,0.127,2.36,22.0,0.212,0.792,33.7,0.328
30.24,3.6,-5.98,-3.61,0.871,1.23,16.1,-0.131,0.693,29.8,0.264
26.02,6.05,9.99,2.19,0.077,2.2,21.5,-0.426,0.828,33.9,0.207
31.96,6.51,7.56,2.8,0.419,1.44,24.3,-0.067,0.779,7.5,0.093
26.69,4.16,-3.55,2.09,-0.462,2.42,22.9,0.346,0.25,33.6,0.243
26.41,5.97,0.67,0.03,-0.994,2.42,8.1,0.159,0.627,32.2,0.345
30.8,12.8,-9.43,-4.55,0.424,1.95,18.0,0.267,0.383,33.8,0.224
31.43,5.8,9.13,-0.17,0.914,2.09,10.9,-0.427,0.098,24.8,0.219
27.2,9.94,-3.75,2.18,0.703,2.32,24.5,-0.369,0.346,30.3,0.162
29.83,5.51,-5.04,-4.03,-0.629,1.7,17.3,-0.252,0.742,12.2,0.165
30.94,6.1,5.26,-0.02,0.044,1.85,11.2,-0.477,0.806,27.7,0.388
27.32,6.62,-8.99,-0.05,1.147,2.05,14.4,0.037,0.728,24.4,0.359
32.44,12.0,-2.68,-0.99,0.211,1.45,16.1,-0.426,0.453,39.4,0.148
35.06,10.91,-7.62,4.75,-0.318,2.23,11.8,0.439,0.654,14.0,0.228
30.17,2.6,-7.26,-1.67,-0.079,1.79,17.1,0.016,0.312,32.6,0.107
35.08,11.68,-4.02,-1.64,0.985,1.89,19.2,-0.2,0.703,21.6,0.286
34.97,9.64,5.94,2.25,0.564,1.23,14.5,0.467,0.676,39.9,0.252
32.39,9.64,-6.59,1.29,0.359,2.29,8.0,0.181,0.075,47.7,0.088
25.36,6.11,-6.97,1.91,-0.269,2.21,23.4,0.373,0.639,7.8,0.098
27.25,6.26,3.24,0.25,-0.559,1.43,23.2,-0.158,0.333,39.7,0.302
31.61,11.08,2.2,-3.08,-0.76,1.93,9.5,0.473,0.288,18.0,0.123
32.23,6.16,-3.02,4.34,0.886,1.56,7.4,0.177,0.354,49.1,0.336
34.72,12.53,-4.19,-2.12,0.642,1.65,13.8,-0.244,0.433,14.1,0.239
34.51,11.12,-7.25,1.16,0.26,1.52,18.4,0.031,0.56,7.4,0.195
32.35,3.33,5.42,-4.95,0.151,2.41,13.1,0.435,0.753,26.5,0.12
34.82,6.21,2.92,4.08,-1.232,1.95,15.7,0.223,0.799,46.1,0.111
34.0,4.31,8.39,4.97,-0.309,1.84,23.7,0.462,0.791,44.5,0.053
30.86,3.42,9.66,-2.15,1.467,1.91,14.9,0.439,0.731,26.1,0.117
26.31,4.14,-0.82,-2.43,-0.941,2.16,20.8,0.068,0.656,12.9,0.35
34.15,12.83,0.31,-4.13,0.508,1.44,7.8,-0.176,0.248,16.7,0.132
32.72,14.49,-3.96,2.23,-1.466,2.05,18.9,-0.438,0.145,18.8,0.192
30.21,13.72,4.07,-1.89,-1.148,2.39,10.9,0.115,0.225,11.0,0.104
32.66,9.94,-1.68,0.49,-0.088,1.9,18.3,-0.282,0.248,39.0,0.356
26.01,7.86,4.08,-4.22,0.193,1.28,16.0,0.005,0.508,11.7,0.165
30.39,3.53,-5.89,0.83,-1.227,1.86,21.2,-0.047,0.461,25.6,0.07
29.81,12.57,4.47,-1.04,0.949,2.17,16.6,-0.455,0.326,7.9,0.398
34.54,2.92,8.68,-4.68,-0.273,2.2,20.3,0.478,0.567,23.9,0.397
29.02,13.39,8.14,-1.24,0.548,2.06,15.8,0.154,0.328,13.0,0.238
30.48,11.54,-5.55,-4.97,-1.432,1.59,18.5,0.044,0.476,42.1,0.137
28.66,5.62,8.75,2.25,-1.161,2.25,13.4,0.266,0.757,5.7,0.122
26.21,2.45,1.96,2.03,-1.354,2.16,13.0,-0.266,0.224,43.9,0.07
30.24,5.8,6.32,2.32,-0.543,1.98,18.5,-0.179,0.291,11.4,0.281
27.41,5.95,-8.78,4.49,1.139,2.39,17.5,-0.073,0.446,48.8,0.38
31.91,12.3,-3.63,-0.84,-1.052,1.69,20.1,-0.026,0.729,18.5,0.298
33.26,13.98,1.25,4.68,0.172,1.37,9.9,-0.297,0.567,46.5,0.346
26.13,11.5,-6.19,-2.32,0.521,1.98,22.5,-0.312,0.659,37.6,0.246
30.0,13.39,-3.34,4.57,-1.454,2.42,24.2,-0.383,0.85,26.6,0.135
31.25,4.69,8.3,0.52,0.827,1.69,15.7,-0.141,0.259,28.1,0.224
26.19,14.86,-0.61,3.4,1.243,1.68,13.3,0.063,0.227,11.6,0.141
34.55,9.59,-1.65,-3.48,-0.51,1.69,21.7,-0.001,0.574,35.8,0.14
33.42,14.67,2.83,-0.09,-0.995,2.23,8.4,0.22,0.441,46.3,0.24
31.63,2.78,-9.32,3.47,1.336,2.07,20.3,-0.088,0.724,15.4,0.298
25.3,8.63,-2.54,1.18,0.5,2.0,14.7,-0.012,0.055,29.8,0.054
30.5,5.61,9.55,-4.83,0.939,2.08,21.1,0.41,0.136,9.3,0.102
27.13,8.91,6.3,-2.33,-0.309,1.68,13.1,0.065,0.842,15.2,0.289
33.69,10.57,7.16,2.6,-1.219,1.69,16.1,-0.444,0.058,12.7,0.225
29.55,12.28,1.32,3.58,-1.214,1.89,5.9,-0.289,0.744,44.9,0.216
25.68,2.99,8.51,3.99,0.191,1.24,23.6,-0.186,0.819,31.4,0.313
32.34,7.23,-8.46,-3.38,-0.779,2.29,12.8,0.397,0.315,39.0,0.099
35.1,11.5,0.02,4.74,-1.339,1.77,21.8,-0.159,0.665,48.0,0.189
32.95,2.4,-4.53,4.93,-0.028,1.66,23.8,-0.068,0.594,34.7,0.08
31.41,12.47,4.26,-4.18,-1.037,2.13,17.7,0.24,0.303,9.8,0.052
28.3,6.73,-4.6,-3.67,-0.938,1.78,16.1,-0.092,0.071,20.9,0.083
31.2,6.26,-2.3,-2.08,-0.337,1.31,23.0,0.405,0.833,30.7,0.109
29.03,3.83,-3.98,-0.07,-1.31,1.77,13.4,-0.016,0.112,16.3,0.136
31.47,9.79,-6.09,-3.93,-0.586,2.43,11.6,0.12,0.693,19.8,0.167
33.38,13.27,9.48,-3.64,-0.538,2.43,9.0,-0.186,0.822,48.6,0.152
32.18,8.45,1.52,-2.58,-0.372,2.26,12.9,-0.386,0.501,31.7,0.241
32.04,9.22,9.06,-0.38,0.625,1.77,10.8,0.193,0.705,40.8,0.193
30.22,10.31,-5.16,1.59,0.646,2.23,6.5,0.491,0.433,23.0,0.227
34.43,11.08,0.87,2.91,-0.421,2.36,15.7,0.138,0.118,39.6,0.28
28.78,10.49,-9.11,4.84,0.532,1.72,20.1,0.466,0.394,5.5,0.141
30.34,8.81,1.61,0.75,-0.163,1.71,20.4,0.089,0.45,20.5,0.059
26.28,7.46,9.23,-3.84,1.322,1.38,11.2,-0.045,0.215,26.7,0.217
29.61,11.14,-3.62,-2.0,0.931,1.35,22.0,0.148,0.592,12.4,0.394
27.67,4.3,-6.8,0.6,1.375,1.5,13.1,-0.316,0.562,24.4,0.06
31.38,4.6,1.84,-1.11,0.614,1.47,20.0,0.309,0.1,9.6,0.355
27.11,6.29,-0.85,-2.38,1.088,1.89,17.8,0.097,0.539,31.4,0.172
33.69,10.11,6.27,2.06,-0.608,2.0,6.7,-0.366,0.144,18.7,0.114
32.17,8.71,-1.64,-3.62,-0.349,1.44,17.7,0.193,0.566,50.0,0.244
30.14,3.85,-3.71,-0.49,-1.339,1.67,5.2,-0.363,0.702,48.4,0.227
30.19,10.99,-1.69,3.4,-0.034,1.31,5.6,0.261,0.284,17.4,0.238
26.92,8.01,4.85,2.66,0.149,1.35,7.3,0.275,0.709,21.5,0.338
25.66,11.44,0.93,4.9,-1.193,2.28,20.0,-0.202,0.849,25.2,0.172
33.41,7.77,9.88,2.76,-0.789,2.25,16.8,-0.149,0.619,33.5,0.108
26.64,4.72,-5.86,-4.41,-0.448,1.57,15.8,-0.176,0.613,18.0,0.144
33.83,14.93,3.59,-4.05,1.388,2.22,23.4,0.492,0.744,10.7,0.353
27.74,11.34,6.57,2.61,0.529,1.84,16.5,-0.231,0.381,25.3,0.272
34.05,3.24,0.31,-2.22,1.309,1.68,24.0,-0.173,0.052,39.8,0.306
32.56,8.03,3.28,-1.42,-1.31,1.89,9.4,-0.07,0.219,17.1,0.34
28.63,9.59,1.32,-0.15,-0.469,2.09,6.0,-0.4,0.677,25.7,0.093
33.83,7.8,-9.99,4.58,-0.893,2.1,7.6,0.15,0.177,47.0,0.146
31.8,5.3,-2.56,4.04,-1.003,1.72,11.1,0.199,0.237,34.5,0.296
25.26,8.27,-7.35,-2.74,0.54,1.21,18.9,0.317,0.841,24.0,0.096
25.96,7.04,4.62,-3.98,-0.56,2.35,7.7,0.273,0.653,11.0,0.398
26.68,8.97,-9.83,1.5,-0.18,2.14,17.6,-0.349,0.379,35.9,0.351
26.12,3.33,5.05,0.9,-0.348,2.45,11.3,-0.36,0.272,8.8,0.244
31.26,9.98,5.58,1.9,1.044,2.06,11.0,0.018,0.458,38.7,0.153
25.8,13.79,9.09,-0.05,-1.162,1.85,16.9,0.028,0.832,49.4,0.377
26.58,13.31,1.37,-1.35,0.549,2.19,24.1,0.27,0.063,8.0,0.142
25.66,2.81,5.79,0.07,0.386,1.85,13.3,0.202,0.116,29.1,0.266
28.04,6.08,0.23,-2.97,0.924,1.9,12.8,0.134,0.718,35.6,0.073
32.25,11.59,6.93,-4.42,-1.241,1.76,14.1,0.109,0.297,38.4,0.309
26.46,11.3,4.03,-3.36,1.359,1.88,20.7,0.221,0.184,10.7,0.323
27.95,13.64,5.43,-4.71,0.921,1.55,6.3,0.212,0.511,8.5,0.209
28.87,8.57,1.34,-1.32,-0.735,1.33,16.5,0.223,0.233,27.9,0.065
33.9,5.23,-0.56,-1.17,-1.05,2.41,22.1,0.053,0.781,38.3,0.197
28.49,7.48,4.41,-2.29,-1.266,1.68,15.0,0.402,0.193,41.2,0.393
34.81,2.92,-0.7,-2.18,1.035,1.63,16.1,-0.492,0.211,30.4,0.156
31.5,8.1,1.83,-0.07,0.818,1.45,23.0,0.26,0.246,5.3,0.194
27.6,6.56,6.79,3.77,1.353,1.2,18.1,0.349,0.632,9.7,0.235
27.66,8.47,-8.8,4.97,0.635,1.32,23.4,0.397,0.466,36.5,0.18
35.02,3.13,-8.09,-3.66,0.96,1.3,16.4,-0.065,0.821,15.7,0.141
28.43,12.52,4.01,2.35,-0.546,1.55,6.5,-0.297,0.674,31.3,0.104
26.92,8.13,-1.87,0.36,1.394,1.47,11.2,-0.235,0.146,12.1,0.29
33.54,11.16,-9.19,3.36,-0.517,1.32,10.0,-0.144,0.461,35.5,0.141
35.19,2.43,-1.91,-0.48,0.744,1.52,14.2,0.304,0.162,5.5,0.341
35.11,3.73,6.47,-1.28,0.391,2.04,16.6,-0.241,0.7,6.0,0.073
34.31,7.84,-7.42,4.05,0.988,1.63,5.9,-0.039,0.184,30.8,0.338
29.23,2.41,3.66,-3.27,-0.856,1.44,10.6,0.383,0.078,32.9,0.136
28.23,7.43,1.01,-4.39,-0.661,1.38,9.0,0.385,0.471,33.4,0.331
33.23,15.0,5.64,-1.41,0.134,1.83,23.3,0.002,0.361,13.1,0.162
27.48,13.77,5.57,-4.41,1.475,1.89,20.3,0.5,0.829,9.5,0.28
27.95,12.73,8.35,-4.44,1.489,1.49,21.9,0.297,0.334,42.8,0.346
27.05,9.8,6.12,1.98,1.242,1.24,19.0,0.448,0.501,30.3,0.116
35.17,13.59,-0.16,-1.91,-0.029,1.32,9.7,-0.281,0.471,5.0,0.371
27.3,3.73,4.34,4.19,1.033,1.62,5.4,0.087,0.784,39.8,0.346
33.9,14.63,-2.53,4.42,-0.313,1.33,11.0,-0.364,0.176,47.7,0.327
34.9,10.54,-6.52,4.69,0.581,2.41,20.7,-0.277,0.521,12.9,0.157
32.18,3.69,4.58,4.49,1.346,1.71,24.9,0.465,0.076,32.1,0.372
34.97,4.92,1.31,4.37,-1.078,2.17,9.8,0.482,0.184,44.8,0.081
32.38,10.41,7.73,-0.53,-0.704,1.52,6.4,-0.243,0.136,5.1,0.185
32.62,14.74,7.69,-0.07,-0.364,1.91,7.0,-0.021,0.741,34.3,0.291
26.92,2.99,6.92,-2.05,-0.544,2.44,6.5,-0.33,0.35,37.9,0.241
34.28,3.24,1.88,1.14,-0.052,1.24,23.8,-0.335,0.762,12.1,0.085
27.35,4.51,3.94,2.22,0.69,1.54,10.6,-0.262,0.09,30.7,0.344
26.84,6.76,-1.45,-2.05,0.486,1.98,9.0,-0.474,0.187,18.1,0.079
33.74,6.07,-2.05,-0.11,0.483,1.32,15.9,-0.315,0.758,21.6,0.206
27.94,8.13,-5.48,-2.31,-1.315,2.18,18.3,-0.414,0.325,29.4,0.39
31.2,9.29,6.82,3.18,-0.244,1.9,22.3,-0.025,0.755,26.4,0.078
34.33,11.4,0.04,4.0,0.901,2.08,17.4,-0.38,0.656,12.8,0.395
35.03,12.64,-7.48,-0.77,1.465,1.77,24.9,0.127,0.717,16.6,0.369
34.45,2.9,-2.24,-1.03,-0.522,1.56,14.2,0.373,0.679,33.0,0.233
29.5,7.46,-7.04,0.88,0.775,2.42,23.5,0.063,0.131,17.9,0.237
28.75,7.42,-2.34,-0.14,0.327,1.25,10.5,-0.356,0.537,36.2,0.064
34.21,6.37,-5.25,2.46,1.263,2.37,5.4,0.317,0.292,17.6,0.222
32.27,3.31,7.38,-3.66,1.423,1.78,21.5,-0.231,0.383,34.0,0.116
27.43,12.84,4.82,2.59,1.102,2.27,15.3,-0.341,0.299,27.8,0.097
33.83,13.57,-9.42,-3.07,0.999,2.29,10.0,-0.044,0.784,36.7,0.146
33.55,8.66,2.71,-3.76,-1.408,1.68,16.9,-0.322,0.746,31.4,0.172
26.95,13.77,4.98,1.89,-0.645,1.7,8.3,0.072,0.822,43.6,0.277
32.09,5.56,-1.81,-4.8,0.841,2.2,5.2,0.412,0.568,32.1,0.053
27.84,12.6,-3.89,4.67,0.428,1.75,12.5,-0.151,0.252,26.0,0.287
33.56,7.24,-7.95,0.12,0.487,2.3,12.5,0.147,0.537,18.4,0.088
25.96,15.01,2.81,3.61,-0.717,2.12,22.8,-0.201,0.17,39.4,0.365
33.38,12.56,2.0,1.61,0.542,2.14,18.1,0.497,0.258,23.8,0.186
25.68,11.33,1.44,-3.1,0.68,1.49,15.7,0.285,0.775,35.2,0.228
33.78,13.07,7.53,-3.19,-1.207,1.37,10.2,0.308,0.66,13.2,0.288
28.68,3.2,-2.89,2.44,-0.579,2.22,11.6,-0.239,0.285,43.3,0.215
33.99,9.69,8.89,-4.29,1.168,1.85,22.3,-0.118,0.289,7.4,0.349
26.7,4.65,-1.82,0.69,1.22,1.79,11.3,0.216,0.673,26.9,0.271
